,Open,High,Low,Close,Volume,Date,EMA_7,EMA_14,EMA_21,SMA_7,SMA_14,SMA_21,CUMLOGRET_1,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,GBP USD ,Gold in USD close,Gold in USD volume,Crude Futures_close,Crude Futures_volume,3M,FTSE_H-L,FTSE_O-C,GBP_USD_H-L,GBP_USD_O-C,Gold_H-L,Gold_O-C,Crude_H-L,Crude_O-C,Close_copy
11,5337.5,5406.1,5337.5,5368.4,1464013700.0,2011-09-16,5278.4439453125,0.0,0.0,5255.9857142857145,0.0,0.0,-0.009326021742330236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.579305,1809.35,98.5,111.38,751.5,0.91906,68.60000000000036,-30.899999999999636,0.009504999999999875,-0.00019999999999997797,41.19999999999982,-35.69999999999982,2.5249999999999915,-0.3999999999999915,5368.4
12,5368.4,5368.4,5231.6,5259.6,721392700.0,2011-09-19,5273.732958984375,0.0,0.0,5244.442857142857,0.0,0.0,-0.029800956053217177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.572401,1806.6,86.0,110.54,762.0,0.92188,136.79999999999927,108.79999999999927,0.012024000000000035,5.0000000000105516e-05,31.799999999999955,-27.799999999999955,2.4799999999999898,-1.3599999999999994,5259.6
13,5259.6,5377.4,5219.1,5363.7,708695000.0,2011-09-20,5296.224719238281,5264.564285714287,0.0,5265.728571428571,5264.564285714286,0.0,-0.010201898840096936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.565999,1805.5,22.0,110.36,1922.0,0.92469,158.29999999999927,-104.09999999999945,0.007416000000000089,0.00031900000000018025,28.90000000000009,2.5,2.700000000000003,0.2600000000000051,5363.7
14,5363.7,5366.1,5268.8,5288.4,770544200.0,2011-09-21,5294.268539428711,5267.742380952382,0.0,5288.414285714286,5255.257142857144,0.0,-0.024340191630039434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.573416,1739.2,23.0,105.49,1204.0,0.92844,97.30000000000018,75.30000000000018,0.016016999999999948,-4.999999999988347e-05,42.299999999999955,34.0,3.950000000000003,3.160000000000011,5288.4
15,5288.4,5288.4,5013.6,5041.6,1191994800.0,2011-09-22,5231.101404571533,5237.5900634920645,0.0,5269.457142857143,5237.371428571429,0.0,-0.07213244226297073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55082,1637.5,81.0,103.97,1050.0,0.93156,274.7999999999993,246.79999999999927,0.017739999999999867,-7.2000000000072e-05,101.0,99.79999999999995,3.3900000000000006,1.7399999999999949,5041.6
16,5041.6,5105.4,4928.1,5066.8,1013630400.0,2011-09-23,5190.02605342865,5214.818055026456,0.0,5246.571428571428,5234.814285714286,0.0,-0.06714647965650353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.536169,1644.05,64.0,105.555,936.0,0.93344,177.29999999999927,-25.199999999999818,0.012515999999999972,0.00021300000000001873,56.34999999999991,51.5,2.760000000000005,0.07499999999998863,5066.8
17,5066.8,5148.8,4974.0,5089.4,1039397000.0,2011-09-26,5164.869540071488,5198.095647689595,0.0,5211.128571428571,5230.0,0.0,-0.06269598886212724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.549331,1650.6,47.0,107.14,822.0,0.93625,174.80000000000018,-22.599999999999454,0.013292000000000082,-0.0005999999999999339,11.700000000000045,3.2000000000000455,2.1299999999999955,-1.5900000000000034,5089.4
18,5089.4,5294.1,5089.4,5294.1,960705900.0,2011-09-27,5197.177155053616,5210.8962279976495,0.0,5200.5142857142855,5228.25,0.0,-0.02326294134868382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.555258,1616.3,21275.0,103.81,985.0,0.94125,204.70000000000073,-204.70000000000073,0.01729500000000006,0.00014500000000006175,0.0,33.700000000000045,3.510000000000005,2.9099999999999966,5294.1
19,5294.1,5314.3,5191.4,5217.6,726670200.0,2011-09-28,5202.282866290212,5211.79006426463,0.0,5194.5142857142855,5219.478571428571,0.0,-0.03781840823092628,0.0,0.0,0.0,5019.210710581121,5235.09,5450.969289418879,8.24739553355832,0.45949125076546077,1.563991,1615.5,7181.0,103.95,814.0,0.94313,122.90000000000055,76.5,0.006388999999999978,9.800000000015352e-05,48.799999999999955,-11.5,3.269999999999996,0.9500000000000028,5217.6
20,5217.6,5250.2,5160.8,5196.8,736900100.0,2011-09-29,5200.912149717659,5209.791389029347,5233.266666666667,5170.671428571428,5218.2,5233.266666666667,-0.04181288273867683,0.0,0.0,0.0,5024.841366088891,5223.995000000001,5423.148633911111,7.624572148752433,0.4317235657067176,1.557608,1620.4,284.0,102.76,831.0,0.94938,89.39999999999964,20.800000000000182,0.01668599999999998,-7.300000000021178e-05,30.0,0.3999999999998636,2.9399999999999977,-0.4200000000000017,5196.8
